website,emails,phones,social_links
https://oldjewelry.net/,info@oldjewelry.net,no phone,"https://www.instagram.com/old_jewelry/, http://instagram.com/old_jewelry"
https://diamondsourcenyc.com/,info@diamondsourcenyc.com,"(888) 342-9949, 114060-0002, (212) 730-5959, 116680-0002, 116655-0002, 036 (212) 730-5959, 1 (888) 342-9949","https://www.instagram.com/diamondsource.nyc, https://www.facebook.com/DiamondSourceNYC/, https://twitter.com/dsource29, https://www.youtube.com/channel/UCmQr6rMP2ZHuJx8lM4-AS0A"
https://www.popular.jewelry/,info@popular.jewelry,+1 (212) 941-7942,"https://www.youtube.com/watch?v=TViPjQD3ZT8, https://www.facebook.com/popularjewelry, https://www.instagram.com/p/BxKtLktA2nZ/?utm_source=ig_web_button_share_sheet, https://www.youtube.com/watch?v=egWbenl76Gg, https://www.linkedin.com/in/william-wong-ny/, https://www.youtube.com/c/PopularJewelry, https://instagram.com/popularjewelry, https://www.youtube.com/watch?v=6DWJDW5lqB0, https://www.youtube.com/watch?v=4H7wFUiZJNA, https://twitter.com/popularjeweler, https://www.youtube.com/watch?v=GFU-y2ldabU&t=5s, https://www.youtube.com/watch?v=TCK9Kuy5M_s, https://www.youtube.com/watch?v=epEhSiWbT9g&t=1s, https://www.youtube.com/watch?v=PcQ15tUTZUQ, https://www.youtube.com/watch?v=pM5XogpX1JA"
https://www.veranda.com/luxury-lifestyle/luxury-fashion-jewelry/g37925974/best-jewelry-shops/,no email,no phone,"https://www.youtube.com/c/verandamagazine?sub_confirmation=1, https://www.instagram.com/verandamag/, https://www.instagram.com/rachaelb_rummel/, https://www.facebook.com/VERANDAMagazine"
https://stores.cartier.com/united-states/ny/new-york/653-fifth-avenue,no email,"+1 212-446-3400, (516) 627-3200, (973) 467-9005, (212) 292-3801, (646) 495-0455","https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FCartier, https://www.youtube.com/cartier, https://www.instagram.com/accounts/login/, https://twitter.com/cartier, https://www.instagram.com/cartier, https://www.facebook.com/Cartier"
https://www.davidyurman.com/stores/new-york-city-dy57.html,CustomerCare@davidyurman.com,"(212) 752-4255, (212) 705-3899, 8315127, 1-888-398-7626, (212) 940-2348, (212) 343-7918","https://www.youtube.com/c/davidyurman, https://www.facebook.com/DavidYurman, https://www.instagram.com/davidyurman"
https://www.instagram.com/mosesjewelry/,no email,no phone,no social links
https://www.foreverdiamondsny.com/,sales@foreverdiamondsny.com,"1(212)997-9796, 212-997-9796","https://www.youtube.com/channel/UCelbzxVn1Qr9o6b8UttE9dA, https://www.facebook.com/foreverdiamondsny, https://www.instagram.com/foreverdiamondsny/"
https://www.martinbuschjewelers.com/,no email,"(212) 349-2230, 038 (212) 349-2230","https://www.facebook.com/MartinBuschJewelers/, https://www.instagram.com/martinbuschjewelers/"
https://monaghansrvc.com/post/13-best-jewelry-stores-in-new-york-city.p2220,no email,2024-10-10,no social links
https://diamondjewelersonline.com/,no email,"(631) 467-0603 2257, (631) 467-0603","https://twitter.com/dia_jewelers, https://www.instagram.com/diamond_jewelers/, https://www.facebook.com/DiamondJewelersOnline/"
https://www.melvinhjoyeria.com/,no email,"445-00157, 443-00123, 410-00577, 130-00029, 443-00124, 443-00126, 435-03746, (347) 257-3332, 435-03661, 435-03744, 435-02712, 435-03748, 130-00022, 435-03747, 160-00011, (305) 458-8850, 435-01171, 435-01197, 415-00944, 443-00125","https://www.instagram.com/melvingold.ny/, https://www.youtube.com/melvinhjoyeria, https://twitter.com/, https://www.instagram.com/melvingold.ny, https://www.instagram.com/melvinh.nyc/"
https://www.frassanitojewelers.com/,info@frassanitojewelers.com,(631) 427-5498,"https://www.facebook.com/Frassanito-Jewelers-24287933691/, https://www.instagram.com/frassanitojewelers/"
https://www.hanikenjewelry.com/,info@haniken.com,10036 212-302,"https://www.instagram.com/hanikenjewelers_nyc/, https://www.youtube.com/user/HanikenJewelersNYC, https://www.facebook.com/HanikenJewelersNYC"
https://solomonsfinejewelers.com/,no email,"1-516-681-6111, (516) 681-6111","https://www.facebook.com/solomonsjewelers/, https://www.instagram.com/solomonsfinejewelry/"
https://www.vrai.com/,help@vrai.com,+1.855.956.4488,"https://www.facebook.com/VRAIjewelry/, https://www.instagram.com/vraiofficial/"
https://stores.zales.com/ny/syracuse/1637,no email,(315) 466-7002,"https://www.instagram.com/zalesjewelers/, https://twitter.com/zalesjewelers, https://www.youtube.com/zales, https://www.facebook.com/zales"
https://oscarstonenyc.com/,no email,no phone,"https://www.facebook.com/oscarstonecompany/, https://www.instagram.com/oscarstonenyc/, https://www.youtube.com/@oscarstonenyc"
https://nissoandconyc.com/,support@nissoandco.com,"+1 (646)821-1770, (+1) 646 821 1770, +1 646-821-1770, 1(646)821-1770","https://www.facebook.com/NissoCoWholesale, https://www.instagram.com/nisso_jewelrywholesale/, https://www.linkedin.com/company/nissoconyc"
https://www.greenwichjewelers.com/,no email,212.964.7592,no social links
http://dfeusa.com/,no email,516.466.1900,no social links
https://www.justice.gov/usao-sdny/pr/two-defendants-arrested-sledgehammer-smash-and-grab-robbery-jewelry-store,no email,"(212) 637-2600, (212) 637-2200","http://twitter.com/intent/tweet?url=https://www.justice.gov/usao-sdny/pr/two-defendants-arrested-sledgehammer-smash-and-grab-robbery-jewelry-store&text=Two Defendants Arrested For Sledgehammer Smash-And-Grab Robbery Of Jewelry Store, http://www.youtube.com/user/usaosdny, http://twitter.com/SDNYNews, http://www.linkedin.com/shareArticle?mini=true&url=https://www.justice.gov/usao-sdny/pr/two-defendants-arrested-sledgehammer-smash-and-grab-robbery-jewelry-store&title=Two Defendants Arrested For Sledgehammer Smash-And-Grab Robbery Of Jewelry Store, https://www.facebook.com/usaosdny/, http://www.facebook.com/sharer/sharer.php?u=https://www.justice.gov/usao-sdny/pr/two-defendants-arrested-sledgehammer-smash-and-grab-robbery-jewelry-store"
https://www.insidehook.com/style-new-york/guide-best-independent-jewelers-nyc,no email,no phone,"https://www.facebook.com/InsideHook, https://twitter.com/MissManhattanNY, https://www.instagram.com/insidehook/, https://twitter.com/insidehook, https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.insidehook.com%2Fstyle-new-york%2Fguide-best-independent-jewelers-nyc, https://www.linkedin.com/company/insidehook, https://www.linkedin.com/shareArticle?mini=true&url=https%253A%252F%252Fwww.insidehook.com%252Fstyle-new-york%252Fguide-best-independent-jewelers-nyc%26title%3DA%2520Guide%2520to%2520the%2520Best%2520Independent%2520Jewelers%2520in%2520NYC%26summary%3DFrom%2520custom%2520engagement%2520rings%2520to%2520vintage%2520cufflinks%252C%2520we%25E2%2580%2599ve%2520got%2520you%2520covered, https://twitter.com/intent/tweet?text=A+Guide+to+the+Best+Independent+Jewelers+in+NYC&url=https%3A%2F%2Fwww.insidehook.com%2Fstyle-new-york%2Fguide-best-independent-jewelers-nyc"
https://www.debeers.com/en-us/store/details?storeId=310,debeersnewyork@debeers.com,+1 212-906-0001,"https://www.facebook.com/DeBeers, https://www.instagram.com/debeersofficial/"
https://specificgravitynyc.com/,no email,347.291.1766,"https://www.instagram.com/specific_gravity/, https://www.facebook.com/SpecificGravityNYC/"
https://jangmidiamonds.com/,jangmi@jangmidiamonds.com,+1 (212) 302-5000,"https://www.facebook.com/JangmiDiamonds, https://www.instagram.com/jangmijewelry/"
https://www.caratlane.us/,contactus@caratlane.us,+1 (844) 922-2728,"https://www.facebook.com/events/977416344244406/?rdid=jpTwRti0adWQ9zdN&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1EVKLnD5Qs%2F#, https://www.instagram.com/p/Ci-Fg5kuoTR/?igshid=ZDhmZGIxNmQ%3D, https://www.facebook.com/CaratlaneInternational, https://www.instagram.com/p/CfABO1AuKdb/?igshid=ZDhmZGIxNmQ%3D, https://www.instagram.com/p/Ckf764augo_/?igshid=ZDhmZGIxNmQ%3D, https://www.instagram.com/caratlaneglobal/, https://www.instagram.com/p/CigTovFq-vm/?igshid=ZDhmZGIxNmQ%3D, https://www.youtube.com/@CaratLaneGlobal, https://www.instagram.com/p/CdGjLdEvLpi/?igshid=ZDhmZGIxNmQ%3D, https://www.instagram.com/p/CjfkDlqOJlq/?igshid=ZDhmZGIxNmQ%3D, https://www.instagram.com/p/Ci8oYnBqoKa/?igshid=ZDhmZGIxNmQ%3D"
https://milanojewelersny.com/,milanojewels@gmail.com,(646) 801-1260,"https://www.facebook.com/Italian-Design-Jewelers-147225858648085/, https://twitter.com/ItalianJewelers"
https://en.wikipedia.org/wiki/Tiffany_%26_Co.,no email,"1288830568, 1950-6244, 0307-1235, 1837-09-18, 0362-4331, 0-8109-3506, 1837 1837, 0099-9660",no social links
https://www.biancajewelers.com/,no email,212-308-6150,"https://www.facebook.com/BiancaJewelers/, https://www.youtube.com/channel/UC8KZPyouMMrym-iIOGvPBIQ?app=desktop, https://www.instagram.com/bianca_jewelers/?hl=en"
https://www.davidyurman.com/stores/new-york-city-soho.html,CustomerCare@davidyurman.com,"(212) 752-4255, (212) 705-3899, 1-888-398-7626, 31338554, (212) 940-2348, (212) 343-7918","https://www.youtube.com/c/davidyurman, https://www.facebook.com/DavidYurman, https://www.instagram.com/davidyurman"
https://www.vrai.com/showrooms/new-york,help@vrai.com,"+1.855.956.4488, 332-265-8723","https://www.facebook.com/VRAIjewelry/, https://www.instagram.com/vraiofficial/"
https://www.luxuryabode.com/blog/which-are-the-25-best-luxury-jewellers-in-new-york-city/artid72,"tech@luxuryabode.com, contact@luxuryabode.com","+91 98205 7561, 5842109448, 8019779","https://www.linkedin.com/company/luxuryabode/, https://www.instagram.com/s/aGlnaGxpZ2h0OjE3ODY2MzIzMjQ0ODI4MDgz?story_media_id=2315905870780456166_7382841052&igshid=k8t7kp6lq471, https://www.twitter.com/luxuryabode/, https://www.facebook.com/luxuryabodeworld/, https://www.instagram.com/luxuryabodeworld/, https://www.youtube.com/@luxuryabode2973/"
https://www.cellinijewelers.com/,contact@CelliniJewelers.com,800-235-5464,"https://twitter.com/Cellini_NYC, https://www.facebook.com/CelliniJewelers, https://www.instagram.com/cellini_jewelers/"
https://www.piaget.com/us-en/boutiques/north-america/united-states-of-america/new-york,no email,"+1 332-204-2938, +1 781-871-0120, +1 212-753-4000, +1 877 874 2438, +1 212-888-0505, +1 718-888-1178","https://www.facebook.com/Piaget, https://www.youtube.com/Piaget, https://instagram.com/piaget, https://www.linkedin.com/company/piaget"
https://oradina.com/,no email,no phone,"https://www.facebook.com/OradinaGold, https://www.instagram.com/oradina/"
https://www.tivolijewelers.com/,no email,"211 (718) 384-1305, (718) 384-1305","https://www.instagram.com/tivolijewelers/, https://www.youtube.com/channel/UCFsHwF6Uc8zhYPhP6yV2_1w, https://www.facebook.com/TivoliJewelers"
https://nationaljeweler.com/,no email,no phone,"https://www.facebook.com/nationaljeweler/, https://twitter.com/NationalJeweler, https://www.linkedin.com/company/national-jeweler-group-inc., https://www.instagram.com/nationaljeweler/"
https://www.sullijewelers.com/,contact@sullijewelers.com,"(212) 226-1416 70, 1930-1940","https://www.facebook.com/Sulli-Jewelers-258371154544/, https://www.instagram.com/sullijewelersnyc/?hl=en"
https://www.estatediamondjewelry.com/navigating-nyc-diamond-district/,no email,"(646) 606-2769, (212) 265-3868, 1 (212) 265 3868, (212) 575-2071, (212) 921-3324","https://www.youtube.com/channel/UCWMKRI0PhHtGeifsgVUYeDQ, https://twitter.com/estatediamondje, https://www.facebook.com/estatediamondjewelry, https://www.facebook.com/sharer/sharer.php?u=https://www.estatediamondjewelry.com/navigating-nyc-diamond-district/, https://www.instagram.com/estatediamondjewelry/, https://www.linkedin.com/company/estate-diamond-jewelry/"
https://www.pandkjewelry.com/,no email,"212-481-5658, 718-594-3179","https://www.facebook.com/pages/pandkjewelry/100687289970942, https://instagram.com/pandkjewelry, https://twitter.com/pandkjewelry"
https://www.watchguynyc.com/pages/stores,ask@watchguynyc.com,"+1 (347) 472 1857, +1 (212) 510 8315","https://youtube.com/@watchguynyc, https://www.instagram.com/thewatchguynyc, https://www.facebook.com/Watchguynyc-1743177139265520/"
https://timesourcejewelers.com/,info@tsjny.com,"+1(631)427-8181, (631) 921-4354","https://www.facebook.com/TimeSource, https://www.instagram.com/timesourcejewelers/, https://www.youtube.com/channel/UCn53U51bJkFkvvwLSZkFTgw"
https://louismartin.com/,info@louismartin.com,"2918.50.38, 1556252, +1 (212) 245-5566","https://www.instagram.com/louismartinjewelers/?hl=en, https://www.instagram.com/louismartinjewelers, https://www.facebook.com/louismartinjewelers/"
https://www.lukfook.com/en,no email,"24-05-07207, 24-05-07206, 24-05-07259, 24-05-07258","https://www.instagram.com/lukfookjewellery_official, https://www.facebook.com/lukfook"
https://loveadorned.com/,"websales@loveadorned.com, love@loveadorned.com, eastend@loveadorned.com","212.431.5683, 212.431.1500, 631.267.7720",https://www.instagram.com/loveadorned/
https://www.sohogem.com/,sales@sohogem.com,212-625-3004,"http://www.instagram.com/sohogem, http://www.facebook.com/sohogem, https://www.youtube.com/watch?v=7CStagqkfLg"
https://stores.cartier.com/en_us/united-states/ny/new-york,no email,"(646) 495-0455, (212) 292-3801, (212) 446-3400","https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FCartier, https://www.youtube.com/cartier, https://www.instagram.com/accounts/login/, https://twitter.com/cartier"
https://diamantinyc.com/,diamantinyc@gmail.com,036 (646) 981-1070,"https://www.facebook.com/diamantinyc, https://www.instagram.com/diamantinyc/"
https://thesevenwestvillage.com/,no email,no phone,https://instagram.com/thesevenwestvillage?igshid=YmMyMTA2M2Y=
https://www.kundanjewelersny.com/,KundanJewelersNY@gmail.com,(718) 255-6060,"http://facebook.com/kundanjewelersny, http://instagram.com/kundanjewelersny"
https://www.lagos.com/pages/store-locator,"RSVP59@lagos.com, lagosrittenhouse@lagos.com","212-705-3452, 1-877-925-4305, 215-567-0770, 877-925-4305","https://www.facebook.com/lagosjewelry/, https://twitter.com/lagos_jewelry/, http://instagram.com/lagos_jewelry/"
https://pippinvintage.com/,no email,212-505-5159,"https://www.instagram.com/pippinvintage/, https://www.facebook.com/pippinvintage/"
https://www.westchesterjewelry.com/,no email,no phone,no social links
https://www.aabhushanonline.com/,aabhushanjewels@gmail.com,"(732) 516-0800, 2023-2024, 732-516-0800","https://www.instagram.com/aabhushanjewels/, https://www.facebook.com/aabhushanjewelers"
https://roen.nyc/,no email,1 212 287 9126,https://www.instagram.com/roen.nyc/
https://www.timeout.com/newyork/shopping/the-best-jewelry-stores-in-new-york,no email,no phone,"https://twitter.com/intent/tweet/?text=The%20best%20jewelry%20stores%20in%20New%20York&url=https://www.timeout.com/newyork/shopping/the-best-jewelry-stores-in-new-york, http://instagram.com/timeoutnewyork, https://twitter.com/TimeOutNewYork, https://www.facebook.com/sharer/sharer.php?u=https://www.timeout.com/newyork/shopping/the-best-jewelry-stores-in-new-york, https://www.youtube.com/user/TimeOutNewYork, https://www.facebook.com/timeoutnewyork"
https://www.mikimotoamerica.com/,no email,"2025-02-20, 1-844-341-0579, 2024-06-25, 2024-11-13","https://www.instagram.com/official_mikimoto/, https://www.youtube.com/user/mikimotoofficial, https://twitter.com/mikimoto_us, https://www.facebook.com/MIKIMOTO"
